B73Mo17_rep1_A1	A1
B73Mo17_rep1_A2	A2
B73Mo17_rep1_A3	A3
B73Mo17_rep1_A4	A4
B73Mo17_rep1_A5	A5
B73Mo17_rep1_A6	A6
B73Mo17_rep1_A7	A7
B73Mo17_rep1_A8	A8
B73Mo17_rep1_A9	A9
B73Mo17_rep1_A10	A10
B73Mo17_rep1_A11	A11
B73Mo17_rep1_A12	A12
B73Mo17_rep1_B1	B1
B73Mo17_rep1_B2	B2
B73Mo17_rep1_B3	B3
B73Mo17_rep1_B4	B4
B73Mo17_rep1_B5	B5
B73Mo17_rep1_B6	B6
B73Mo17_rep1_B7	B7
B73Mo17_rep1_B8	B8
B73Mo17_rep1_B9	B9
B73Mo17_rep1_B10	B10
B73Mo17_rep1_B11	B11
B73Mo17_rep1_B12	B12
B73Mo17_rep1_C1	C1
B73Mo17_rep1_C2	C2
B73Mo17_rep1_C3	C3
B73Mo17_rep1_C4	C4
B73Mo17_rep1_C5	C5
B73Mo17_rep1_C6	C6
B73Mo17_rep1_C7	C7
B73Mo17_rep1_C8	C8
B73Mo17_rep1_C9	C9
B73Mo17_rep1_C10	C10
B73Mo17_rep1_C11	C11
B73Mo17_rep1_C12	C12
B73Mo17_rep1_D1	D1
B73Mo17_rep1_D2	D2
B73Mo17_rep1_D3	D3
B73Mo17_rep1_D4	D4
B73Mo17_rep1_D5	D5
B73Mo17_rep1_D6	D6
B73Mo17_rep1_D7	D7
B73Mo17_rep1_D8	D8
B73Mo17_rep1_D9	D9
B73Mo17_rep1_D10	D10
B73Mo17_rep1_D11	D11
B73Mo17_rep1_D12	D12
B73Mo17_rep1_E1	E1
B73Mo17_rep1_E2	E2
B73Mo17_rep1_E3	E3
B73Mo17_rep1_E4	E4
B73Mo17_rep1_E5	E5
B73Mo17_rep1_E6	E6
B73Mo17_rep1_E7	E7
B73Mo17_rep1_E8	E8
B73Mo17_rep1_E9	E9
B73Mo17_rep1_E10	E10
B73Mo17_rep1_E11	E11
B73Mo17_rep1_E12	E12
B73Mo17_rep1_F1	F1
B73Mo17_rep1_F2	F2
B73Mo17_rep1_F3	F3
B73Mo17_rep1_F4	F4
B73Mo17_rep1_F5	F5
B73Mo17_rep1_F6	F6
B73Mo17_rep1_F7	F7
B73Mo17_rep1_F8	F8
B73Mo17_rep1_F9	F9
B73Mo17_rep1_F10	F10
B73Mo17_rep1_F11	F11
B73Mo17_rep1_F12	F12
B73Mo17_rep1_G1	G1
B73Mo17_rep1_G2	G2
B73Mo17_rep1_G3	G3
B73Mo17_rep1_G4	G4
B73Mo17_rep1_G5	G5
B73Mo17_rep1_G6	G6
B73Mo17_rep1_G7	G7
B73Mo17_rep1_G8	G8
B73Mo17_rep1_G9	G9
B73Mo17_rep1_G10	G10
B73Mo17_rep1_G11	G11
B73Mo17_rep1_G12	G12
B73Mo17_rep1_H1	H1
B73Mo17_rep1_H2	H2
B73Mo17_rep1_H3	H3
B73Mo17_rep1_H4	H4
B73Mo17_rep1_H5	H5
B73Mo17_rep1_H6	H6
B73Mo17_rep1_H7	H7
B73Mo17_rep1_H8	H8
B73Mo17_rep1_H9	H9
B73Mo17_rep1_H10	H10
B73Mo17_rep1_H11	H11
B73Mo17_rep1_H12	H12
