MultiGenotype_A1	A1
MultiGenotype_A2	A2
MultiGenotype_A3	A3
MultiGenotype_A4	A4
MultiGenotype_A5	A5
MultiGenotype_A6	A6
MultiGenotype_A7	A7
MultiGenotype_A8	A8
MultiGenotype_A9	A9
MultiGenotype_A10	A10
MultiGenotype_A11	A11
MultiGenotype_A12	A12
MultiGenotype_B1	B1
MultiGenotype_B2	B2
MultiGenotype_B3	B3
MultiGenotype_B4	B4
MultiGenotype_B5	B5
MultiGenotype_B6	B6
MultiGenotype_B7	B7
MultiGenotype_B8	B8
MultiGenotype_B9	B9
MultiGenotype_B10	B10
MultiGenotype_B11	B11
MultiGenotype_B12	B12
MultiGenotype_C1	C1
MultiGenotype_C2	C2
MultiGenotype_C3	C3
MultiGenotype_C4	C4
MultiGenotype_C5	C5
MultiGenotype_C6	C6
MultiGenotype_C7	C7
MultiGenotype_C8	C8
MultiGenotype_C9	C9
MultiGenotype_C10	C10
MultiGenotype_C11	C11
MultiGenotype_C12	C12
MultiGenotype_D1	D1
MultiGenotype_D2	D2
MultiGenotype_D3	D3
MultiGenotype_D4	D4
MultiGenotype_D5	D5
MultiGenotype_D6	D6
MultiGenotype_D7	D7
MultiGenotype_D8	D8
MultiGenotype_D9	D9
MultiGenotype_D10	D10
MultiGenotype_D11	D11
MultiGenotype_D12	D12
MultiGenotype_E1	E1
MultiGenotype_E2	E2
MultiGenotype_E3	E3
MultiGenotype_E4	E4
MultiGenotype_E5	E5
MultiGenotype_E6	E6
MultiGenotype_E7	E7
MultiGenotype_E8	E8
MultiGenotype_E9	E9
MultiGenotype_E10	E10
MultiGenotype_E11	E11
MultiGenotype_E12	E12
MultiGenotype_F1	F1
MultiGenotype_F2	F2
MultiGenotype_F3	F3
MultiGenotype_F4	F4
MultiGenotype_F5	F5
MultiGenotype_F6	F6
MultiGenotype_F7	F7
MultiGenotype_F8	F8
MultiGenotype_F9	F9
MultiGenotype_F10	F10
MultiGenotype_F11	F11
MultiGenotype_F12	F12
MultiGenotype_G1	G1
MultiGenotype_G2	G2
MultiGenotype_G3	G3
MultiGenotype_G4	G4
MultiGenotype_G5	G5
MultiGenotype_G6	G6
MultiGenotype_G7	G7
MultiGenotype_G8	G8
MultiGenotype_G9	G9
MultiGenotype_G10	G10
MultiGenotype_G11	G11
MultiGenotype_G12	G12
MultiGenotype_H1	H1
MultiGenotype_H2	H2
MultiGenotype_H3	H3
MultiGenotype_H4	H4
MultiGenotype_H5	H5
MultiGenotype_H6	H6
MultiGenotype_H7	H7
MultiGenotype_H8	H8
MultiGenotype_H9	H9
MultiGenotype_H10	H10
MultiGenotype_H11	H11
MultiGenotype_H12	H12
