well	genotype	genotype_rep
A1	B73	B73_rep1
A2	B73	B73_rep1
A3	B73	B73_rep1
A4	B73	B73_rep1
A5	B73	B73_rep1
A6	B73	B73_rep1
A7	B73	B73_rep1
A8	B73	B73_rep1
A9	B73	B73_rep1
A10	B73	B73_rep1
A11	B73	B73_rep1
A12	B73	B73_rep1
B1	B97	B97
B2	B97	B97
B3	B97	B97
B4	B97	B97
B5	B97	B97
B6	B97	B97
B7	B97	B97
B8	B97	B97
B9	B97	B97
B10	B97	B97
B11	B97	B97
B12	B97	B97
C1	B73	B73_rep2
C2	B73	B73_rep2
C3	B73	B73_rep2
C4	B73	B73_rep2
C5	B73	B73_rep2
C6	B73	B73_rep2
C7	B73	B73_rep2
C8	B73	B73_rep2
C9	B73	B73_rep2
C10	B73	B73_rep2
C11	B73	B73_rep2
C12	B73	B73_rep2
D1	M162W	M162W
D2	M162W	M162W
D3	M162W	M162W
D4	M162W	M162W
D5	M162W	M162W
D6	M162W	M162W
D7	M162W	M162W
D8	M162W	M162W
D9	M162W	M162W
D10	M162W	M162W
D11	M162W	M162W
D12	M162W	M162W
E1	Mo18W	Mo18W
E2	Mo18W	Mo18W
E3	Mo18W	Mo18W
E4	Mo18W	Mo18W
E5	Mo18W	Mo18W
E6	Mo18W	Mo18W
E7	Mo18W	Mo18W
E8	Mo18W	Mo18W
E9	Mo18W	Mo18W
E10	Mo18W	Mo18W
E11	Mo18W	Mo18W
E12	Mo18W	Mo18W
F1	Ky21	Ky21
F2	Ky21	Ky21
F3	Ky21	Ky21
F4	Ky21	Ky21
F5	Ky21	Ky21
F6	Ky21	Ky21
F7	Ky21	Ky21
F8	Ky21	Ky21
F9	Ky21	Ky21
F10	Ky21	Ky21
F11	Ky21	Ky21
F12	Ky21	Ky21
G1	Oh7B	Oh7B
G2	Oh7B	Oh7B
G3	Oh7B	Oh7B
G4	Oh7B	Oh7B
G5	Oh7B	Oh7B
G6	Oh7B	Oh7B
G7	Oh7B	Oh7B
G8	Oh7B	Oh7B
G9	Oh7B	Oh7B
G10	Oh7B	Oh7B
G11	Oh7B	Oh7B
G12	Oh7B	Oh7B
H1	Tzi8	Tzi8
H2	Tzi8	Tzi8
H3	Tzi8	Tzi8
H4	Tzi8	Tzi8
H5	Tzi8	Tzi8
H6	Tzi8	Tzi8
H7	Tzi8	Tzi8
H8	Tzi8	Tzi8
H9	Tzi8	Tzi8
H10	Tzi8	Tzi8
H11	Tzi8	Tzi8
H12	Tzi8	Tzi8
